"language","clade"
"Adapazar",9
"Afrikaans",1
"Ancient Greek",4
"Arumanian",2
"Arvanitika",10
"Assamese",8
"Avestan",7
"Baluchi",7
"Belarusian",5
"Bengali",8
"Bihari",8
"Breton",3
"Bulgarian",5
"Cagliari",2
"Catalan",2
"Classical Armenian",9
"Cornish",3
"Czech",5
"Danish",1
"Digor Ossetic",7
"Dutch",1
"Eastern Armenian",9
"English",1
"Faroese",1
"Flemish",1
"French",2
"Frisian",1
"Friulian",2
"German",1
"Gothic",1
"Gujarati",8
"Hindi",8
"Hittite",11
"Icelandic",1
"Irish",3
"Italian",2
"Kashmiri",8
"Kurdish",7
"Ladin",2
"Lahnda",8
"Latin",2
"Latvian",6
"Lithuanian",6
"Lower Sorbian",5
"Luxembourgish",1
"Macedonian",5
"Marathi",8
"Marwari",8
"Modern Greek",4
"Nepali",8
"Norwegian",1
"Nuorese",2
"Old Church Slavic",5
"Old English",1
"Old High German",1
"Old Irish",3
"Old Prussian",6
"Old West Norse",1
"Oriya",8
"Panjabi",8
"Pashto",7
"Persian",7
"Polish",5
"Portuguese",2
"Provencal",2
"Romani",8
"Romanian",2
"Romansh",2
"Russian",5
"Sariqoli",7
"Scots Gaelic",3
"Serbian",5
"Shughni",7
"Sindhi",8
"Singhalese",8
"Slovak",5
"Slovenian",5
"Sogdian",7
"Spanish",2
"Swedish",1
"Swiss German",1
"Tajik",7
"Tocharian A",12
"Tocharian B",12
"Tosk",10
"Ukrainian",5
"Upper Sorbian",5
"Urdu",8
"Vedic Sanskrit",8
"Wakhi",7
"Walloon",2
"Waziri",7
"Welsh",3
"Zazaki",7
